x,y,z,c
-9.166781,-9.533694,27.374792,0.08002
-9.203472,-9.495668,27.51873,0.08027007
-9.232692,-9.445005,27.658829,0.08052013
-9.253923,-9.382055,27.79329,0.080770195
-9.266737,-9.3073635,27.920341,0.08102026
-9.2708,-9.221671,28.038288,0.081270315
-9.265886,-9.125905,28.145523,0.08152038
-9.251888,-9.021162,28.240572,0.08177044
-9.228816,-8.908692,28.322119,0.082020506
-9.196803,-8.789878,28.389029,0.08227057
-9.156111,-8.666202,28.440376,0.08252063
-9.10712,-8.539218,28.475452,0.08277069
-9.05033,-8.410525,28.493784,0.083020754
-8.986349,-8.281732,28.49513,0.08327082
-8.915888,-8.15442,28.479485,0.08352088
-8.839741,-8.030126,28.447071,0.083770946
-8.75878,-7.910304,28.398325,0.084021
-8.673932,-7.796313,28.333881,0.084271066
-8.58617,-7.6893888,28.254559,0.08452113
-8.496491,-7.590638,28.161327,0.08477119
-8.405907,-7.5010247,28.055298,0.08502126
-8.315418,-7.421366,27.937685,0.08527132
-8.226013,-7.352334,27.809797,0.08552138
-8.138645,-7.294457,27.673008,0.08577144
-8.054226,-7.248125,27.52873,0.086021505
-7.973616,-7.213601,27.37841,0.08627157
-7.8976145,-7.191028,27.223505,0.08652163
-7.826956,-7.1804423,27.065464,0.08677169
-7.762305,-7.1817837,26.90573,0.08702175
-7.7042527,-7.1949067,26.745714,0.08727182
-7.653318,-7.2195907,26.58681,0.08752188
-7.6099453,-7.255551,26.430367,0.087771945
-7.574506,-7.3024435,26.2777,0.08802201
-7.5472994,-7.3598747,26.130085,0.088272065
-7.5285573,-7.4274044,25.988754,0.08852213
-7.5184417,-7.504548,25.854898,0.08877219
-7.517052,-7.5907807,25.729658,0.08902226
-7.524425,-7.6855354,25.614138,0.08927232
-7.5405364,-7.788203,25.509386,0.089522384
-7.565303,-7.898126,25.416409,0.08977244
-7.598585,-8.014602,25.336155,0.090022504
-7.640187,-8.13687,25.26952,0.09027257
-7.689855,-8.264115,25.217339,0.09052263
-7.747281,-8.395456,25.180374,0.090772696
-7.812099,-8.529946,25.159317,0.09102275
-7.8838835,-8.666564,25.15477,0.091272816
